Čiča Gorio,page_count,letter_id,language_id,binding_id,format_id,publisher_id,ISBN,quantity_count,rented_count,reserved_count,body,year,pdf,placeholder
Portret jedne lejdi,234,8,1,7,2,1,2323232323232,4,0,0,"Otac Goriot ili Čiča Goriot, realistički roman Honoréa de Balzaca, dio ciklusa romana Ljudska komedija. Smatra se Balzacovim najpoznatijim i najčitanijim romanom te najvećim pojedinačnim dostignućem unutar ciklusa Ljudske komedije.",2004,0,1
Nečista krv,121,8,1,7,2,2,2232323232222,2,0,0,"Portret dame roman je Henryja Jamesa, prvi put objavljen kao serijal u časopisu The Atlantic Monthly i Macmillan's Magazine 1880–81, a zatim kao knjiga 1881.",2002,0,1
Derviš i smrt,123,8,1,7,2,3,1111111111111,2,0,0,Nečista krv je roman koji je napisao Borisav Stanković. Bavi se temama srpskog juga tokom reformi u kasnom 19. vijeku.,2007,0,1
Seobe,111,8,1,7,2,4,3333333333333,3,0,0,"Radnja romana Seobe Miloša Crnjanskog počinje u proljeće 1744. godine. Glavni lik romana, Vuk Isakovič, odlazi na vojnu, a radnja romana prati život podunavskog polka, sve nedaće koje su pratile vojnike, ali i život onih koji su ostali u svojim domovima.",2000,0,1
"Tiše, snima se!",132,8,1,7,2,5,2222222222222,4,0,0,"Tišina, snima se! Prati nastajanje filma Vuk samotnjak, koji je prema istoimenom romanu Maje Gluščević1972. snimio Obrad Gluščević sa Slavkom Štimcem u glavnoj ulozi. Zasigurno se sjećate one dirljive priče o prijateljstvu dječaka Ranka i strašnog vuka samotnjaka, koji, zapravo, uopšte nije vuk već – pas. ",2012,0,1
Prokleta avlija,321,8,1,7,2,6,7777777777777,2,0,0,"Prokleta avlija je roman bosanskohercegovačkog, hrvatskog i srpskog književnika Ive Andrića. Pisanje Proklete avlije Andrić je započeo između Prvog i Drugog svjetskog rata, a dovršio ga i objavio 1954. godine, smatra se piščevim remek-djelom. ",2004,0,1
Slike Dorijana Greja,289,8,1,7,2,4,8888888888888,2,0,0,"Slika Doriana Graya je roman irskog pisca Oscara Wilde iz 1890. Glavni lik, bogati i lijepi Dorian Gray, posjeduje portret, koji umjesto njega stari i na kojem ostaju tragovi grijehova i grešaka.",2004,0,1
Tvrđava,224,8,1,7,2,5,,3,0,0,"Tvrđava je roman bosanskohercegovačkog književnika Meše Selimovića, objavljen 1970. godine. Tvrđava je pandan romanu Dervišu i smrti. Najčešće se o Tvrđavi i Dervišu i smrti govori u paru, gotovo kao da je riječ o dijelovima istog ciklusa, o nastavcima.",2002,0,1
Vječni muž,421,8,1,7,2,6,,4,0,0,"Vječni muž novela je ruskog autora Fjodora Dostojevskog koja je prvi put objavljena 1870. godine u časopisu Zarya. Radnja novele vrti se oko složenih odnosa plemića Velčanjinova i udovca Trusockog, čija je preminula supruga bila bivša ljubavnica Velčaninova.",2007,0,1
Ana Karenjina,251,8,1,7,2,7,,4,0,0,"Ana Karenjina je roman ruskog pisca Lava Nikolajeviča Tolstoja, koji je prvobitno objavljivan u dijelovima od 1873. do 1877. godine. Prva pojava romana je bila u „Ruskom glasniku“, ali nije objavljen do kraja, pošto je Tolstoj došao u sukob s urednikom Mihailom Katkovim oko pitanja koja su pokrenuta u završnom dijelu.",2000,0,1
Zona Zamfirova,214,8,1,7,2,4,,2,0,0,Zona Zamfirova je komično-dramski film iz 2002. redatelja Zdravka Šotre. Temelji se na knjizi srpskog autora Stevana Sremca iz 1906. godine. Film sadrži lokalni narodni jezik srpskog dijalekta kojim se govori u niškom kraju.,2012,0,1
Igra đinđuvama,178,8,1,7,2,5,,4,0,0,"Radnja romana odvije se u budućnosti, odnosno u 25. stoljeću. Autor je radnju smjestio u državu Kastaliju. U to vrijeme, Kastalijom je upravljala intelektualna elita koja je smještena i na sam vrh obrazovnog sustava. Školovanju mogu pristupiti samo najdarovitiji učenici pa se pristup školovanju smatra i izuzetnom čašću za pojedinca.",2004,0,1
Engleska posla,421,8,1,7,2,6,,2,0,0,"Roman je odmah nakon objavljivanja postao poprilično uspješan, ali zanimljivo je to da je, nakon što je otkriveno da ga je zapravo napisala žena, postao još prodavaniji. Popularnost mu je još više narasla zato što se počeo smatrati “neprikaladnim”. Neprikladno je bilo to što je žena napisala tako strastven roman, što ne samo da nije spriječilo ljude da ga čitaju, nego ih zainteresiralo da ga čitaju i više.",2001,0,1
Na Drini ćuprija,251,8,1,7,2,7,,2,0,0,"Na Drini ćuprija je povijesni roman bosanskohercegovačkog, hrvatskog i srpskog književnika Ive Andrića. Djelo je napisano i prvi put objavljeno 1945. godine, smatra se za jedno je od najvećih romana ovog pisca.",2004,0,1
Antigona,214,8,1,7,2,4,,3,0,0,"Antigona Sofoklova je tragedija iz 5. stoljeća pr. Kr. Podijeljena je u sedam činova, a radnja je smještena u antičkom gradu Tebi, u nemirno vrijeme vladavine kralja Kreonta, vrijeme sukoba.",2002,0,1
Rat i mir,421,8,1,7,2,5,,4,0,0,Rat i mir epski je roman Lava Nikolajeviča Tolstoja objavljen između 1865. i 1869. Prikazuje rusko društvo tijekom Napoleonovog razdoblja. Smatra se jednim od dva Tolstojeva remek-djela uz Anu Karenjinu te je jedan od najvećih romana u povijesti književnosti.,2007,0,1
Stranac,251,8,1,7,2,6,,4,0,0,Stranac je djelo francuskog književnika i filozofa Alberta Camusja. Izdan 1942. godine jedan je od najznačajnijih romana francuske književnosti dvadesetog stoljeća i jedan od najboljih literarnih prikaza apsurda ljudske egzistencije granom filozofije kojom se Camus bavio.,2000,0,1
